,Drug_ID,SMILES,BBB_Martins
0,Propanolol,CC(C)NCC(O)COc1cccc2ccccc12.[Cl],1
1,Terbutylchlorambucil,CC(C)(C)OC(=O)CCCc1ccc(N(CCCl)CCCl)cc1,1
2,40730,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,1
3,24,CC(=O)NCCCOc1cccc(CN2CCCCC2)c1,1
4,cloxacillin,Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,1
5,cefoperazone,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O,1
6,rolitetracycline,CN(C)[C@@H]1C(=O)/C(=C(/O)NCN2CCCC2)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,1
7,ondansetron,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,1
8,diltiazem,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,1
9,Amiloride,NC(N)=NC(=O)c1nc(Cl)c(N)nc1N,1
10,M2L-663581,CN1Cc2c(-c3noc(C(C)(O)CO)n3)ncn2-c2cccc(Cl)c2C1=O,0
11,alovudine,Cc1cn([C@H]2C[C@H](F)[C@@H](CO)O2)c(=O)[nH]c1=O,1
12,18,ClCCl,1
13,24959,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1,1
14,methadone,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,1
15,alfentanil,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,1
16,BRL53080,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,1
17,hyoscyamine,CN1C2CCC1CC(OC(=O)[C@H](CO)c1ccccc1)C2,1
18,glyburide,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,1
19,lamotrigine,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,1
20,2-Methylpentane,CCCC(C)C,1
21,Dexamfetamine,C[C@H](N)Cc1ccccc1,1
22,SKF-93619,CN(C)Cc1ccc(CSCCNc2nc(=O)c(Cc3ccc4ccccc4c3)c[nH]2)o1,0
23,nadolol,CC(C)(C)NCC(O)COc1cccc2c1C[C@H](O)[C@H](O)C2,1
24,sufentanil,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,1
25,12,CCNC(=NC#N)NCCSCc1ncccc1Br,0
26,zolpidem,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,1
27,clozapine,CN1CCN(C2=c3ccccc3=Nc3ccc(Cl)cc3N2)CC1,1
28,Org12692,FC(F)(F)c1ccc(N2CCNCC2)nc1Cl,1
29,piperacillin,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H](C(=O)O)C(C)(C)S[C@H]23)c2ccccc2)C(=O)C1=O.O,1
30,Pentobarbital,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,1
31,Levofloxacin,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,1
32,compound 40,O=C(NCCCOc1cccc(CN2CCCCC2)c1)c1ccccc1,1
33,RO19-4603,CN1Cc2c(C(=O)OC(C)(C)C)ncn2-c2ccsc2C1=O,1
34,fentanyl,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,1
35,etomidate,CCOC(=O)c1cncn1C(C)c1ccccc1,1
36,11a,CN(C)c1cc(-c2nc(N)n[nH]2)ccn1,0
37,prochlorperazine,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,1
38,2-(3'-Iodo-4'-aminophenyl)-6-hydroxybenzothiazole,Nc1ccc(-c2nc3ccc(O)cc3s2)cc1I,1
39,compound 34,CC(=O)Nc1cccc(-c2csc(N=C(N)N)n2)c1,0
40,granisetron,CN1[C@H]2CCC[C@@H]1CC(NC(=O)c1nn(C)c3ccccc13)C2,1
41,thiamphenicol,CS(=O)(=O)c1ccc([C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl)cc1,1
42,16,NC(N)=Nc1nc(-c2ccccc2)cs1,1
43,mexiletine,Cc1cccc(C)c1OCC(C)N,1
44,dextropropoxyphene,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C,1
45,Nor-1-chlorpromazine,CNCCCN1c2ccccc2Sc2ccc(Cl)cc21,1
46,compound 37,CN(C)Cc1ccc(-c2cccc(NC3N=CC=C3[N+](=O)[O-])c2)o1,1
