,Drug_ID,SMILES,CYP2C19_Veith
0,6602638.0,CCCC(=O)Nc1ccc(N2CCN(CC)CC2)c(Cl)c1.Cl,0
1,644675.0,CC(=O)N(c1ccc2oc(=O)sc2c1)S(=O)(=O)c1cccs1,1
2,644851.0,Clc1ccccc1-c1nc(-c2ccccc2)n[nH]1,1
3,644890.0,COc1ccccc1C(c1nnnn1C(C)(C)C)N1CCN(Cc2ccncc2)CC1,1
4,644968.0,COc1ccccc1CNC(=O)Cn1nnc(-c2ccncc2)n1,1
5,645063.0,CC(=O)Nc1cccc(NC(=O)C2CCCN2C(=O)Nc2ccccc2C)c1,0
6,645164.0,CCC(c1nnnn1CC1CCCO1)N(CCN1CCOCC1)Cc1cc2cc(C)ccc2[nH]c1=O,0
7,6602688.0,Br.N=c1n(CCN2CCOCC2)c2ccccc2n1CC(=O)c1ccc(Cl)c(Cl)c1,1
8,645323.0,COc1ccc(Nc2nc(N)nc(CSc3n[nH]c(-c4ccccc4)n3)n2)cc1,1
9,645569.0,CCc1cc2c(=O)[nH]cnc2s1,0
10,645575.0,CCOc1cc(NC(=O)C2CCCCC2)c(OCC)cc1NC(=O)c1ccco1,1
11,645578.0,Cc1ccc2c(c1)nnn2C1CCN(S(=O)(=O)c2ccc(C(=O)N3C(C)CCCC3C)cc2)CC1,1
12,645818.0,COc1cccc2c(=O)c(C(=O)NCc3cccs3)c[nH]c12,1
13,645911.0,CCc1nnc(SCc2ccc(OC(C)C)cc2)n1N,1
14,645929.0,CC(C)(C)NC(=O)CSc1nnc(Cc2ccc3c(c2)OCO3)n1C1CCCCC1,0
15,645965.0,Cc1ccc2c(c1)nnn2C1CCN(CC(=O)N2c3ccccc3CC2C)CC1,1
16,6398898.0,O=C(CSc1nnc2c(n1)[nH]c1ccc(F)cc12)OCc1ccccc1,1
17,646118.0,CCc1c(C)nc2ncnn2c1NCCc1ccc(OC)cc1,1
18,646164.0,CCOC(=O)CSC1=C(C#N)C(C)C2=C(CCCC2=O)N1,1
19,646345.0,O=C(c1ccc2c(c1)OCCO2)C1CCN(S(=O)(=O)c2ccccc2F)CC1,1
