,Drug_ID,SMILES,DILI
0,187.0,CC(=O)OCC[N+](C)(C)C,0.0
1,247.0,C[N+](C)(C)CC(=O)[O-],0.0
2,298.0,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,0.0
3,338.0,O=C(O)c1ccccc1O,0.0
4,444.0,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,0.0
5,453.0,OCC(O)C(O)C(O)C(O)CO,0.0
6,564.0,NCCCCCC(=O)O,0.0
7,679.0,CS(C)=O,0.0
8,681.0,NCCc1ccc(O)c(O)c1,0.0
9,727.0,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,0.0
10,892.0,OC1C(O)C(O)C(O)C(O)C1O,0.0
11,938.0,O=C(O)c1cccnc1,1.0
12,978.0,Nc1ccc(C(=O)O)cc1,0.0
13,988.0,CC(C)(CO)C(O)C(=O)NCCC(=O)O,0.0
14,1046.0,NC(=O)c1cnccn1,1.0
15,1054.0,Cc1ncc(CO)c(CO)c1O,0.0
16,1130.0,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,0.0
17,1674.0,Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3,1.0
18,1775.0,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,1.0
19,1923.0,Oc1cccc2cccnc12,1.0
20,1935.0,Nc1c2c(nc3ccccc13)CCCC2,0.0
21,1986.0,CC(=O)Nc1nnc(S(N)(=O)=O)s1,1.0
22,1989.0,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,1.0
24,2082.0,CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,1.0
25,2083.0,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,0.0
26,2088.0,NCCCC(O)(P(=O)(O)O)P(=O)(O)O,0.0
27,2094.0,O=c1ncnc2[nH][nH]cc1-2,1.0
28,2130.0,NC12CC3CC(CC(C3)C1)C2,0.0
29,2140.0,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,0.0
30,2141.0,NCCCNCCSP(=O)(O)O,0.0
31,2145.0,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,0.0
32,2160.0,CN(C)CCC=C1c2ccccc2CCc2ccccc21,0.0
33,2165.0,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,1.0
