,Drug_ID,SMILES,Half_Life_Obach
0,CHEMBL1754,CCN1CC(CCN2CCOCC2)C(c2ccccc2)(c2ccccc2)C1=O,4.1
1,CHEMBL1484,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,4.1
2,CHEMBL478,Clc1cccc(N2CCNCC2)c1,4.7
3,CHEMBL1097,CCN(CC)CCNC(=O)c1ccc(NC(C)=O)cc1,6.4
4,CHEMBL517712,CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2,4.1
5,CHEMBL469,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,5.1
6,CHEMBL521589,CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(C(O)CNC(C)(C)C)c1,2.6
7,CHEMBL185,O=c1[nH]cc(F)c(=O)[nH]1,0.12
8,CHEMBL1055,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,36.0
10,CHEMBL571,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,2.1
11,CHEMBL631,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,2.1
12,CHEMBL296035,CCc1cccc2cc(C(O)CNC(C)(C)C)oc12,2.3
13,CHEMBL1496,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,2.0
14,CHEMBL108111,N=C(N)c1ccc(C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N2CCC(OCC(=O)O)CC2)cc1,2.1
15,CHEMBL84,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,2.3
16,CHEMBL1504,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,2.4
17,CHEMBL266195,C=CCc1ccccc1OCC(O)CNC(C)C,2.5
18,CHEMBL646,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,2.7
19,CHEMBL56564,CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)c1c[nH]c3ccccc13)C2,5.6
20,CHEMBL297302,O=C(CCCN1CCC(n2c(O)nc3ccccc32)CC1)c1ccc(F)cc1,5.8
21,CHEMBL434,CC(C)NCC(O)c1ccc(O)c(O)c1,0.41
22,CHEMBL526,CC(C)c1cccc(C(C)C)c1O,3.2
23,CHEMBL135400,CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,5.2
24,CHEMBL459,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,5.9
25,CHEMBL54,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,35.0
26,CHEMBL417,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1,36.0
27,CHEMBL674,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,1.8
28,CHEMBL27,CC(C)NCC(O)COc1cccc2ccccc12,3.4
29,CHEMBL1095284,N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3c[nH]nn3)CS[C@H]12)c1ccc(O)cc1,1.2
30,CHEMBL7413,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,1.6
32,CHEMBL1073,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,3.3
