,Drug_ID,SMILES,LD50_Zhu
0,"Diazene, diphenyl-, 1-oxide",[O-][N+](=Nc1ccccc1)c1ccccc1,2.505
1,"Methane, tribromo-",BrC(Br)Br,2.343
2,Bromoethene (9CI),C=CBr,2.33
3,"1,1'-Biphenyl, hexabromo-",Brc1ccc(-c2ccc(Br)c(Br)c2Br)c(Br)c1Br,1.465
4,"Isothiocyanic acid, p-bromophenyl ester",S=C=Nc1ccc(Br)cc1,2.729
5,"2(3H)-Benzoxazolone, 6-bromo- (9CI)",O=c1[nH]c2ccc(Br)cc2o1,2.33
6,"Benzene, bromo-",Brc1ccccc1,1.765
7,"2H-1,4-Benzodiazepin-2-one, 7-bromo-1,3-dihydro-5-(2-pyridinyl)-",O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,2.21
8,"1H-Imidazole, 2,4,5-tribromo-",Brc1nc(Br)c(Br)[nH]1,3.952
9,"Methane, dibromo-",BrCBr,3.207
10,"1-Propanol, 2,3-dibromo-, phosphate (3:1)",O=P(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr,2.839
11,"2-Butene, 1,4-dibromo-",BrCC=CCBr,3.455
12,"Ethane, 1,2-dibromo-",BrCCBr,3.24
13,"Piperazine, 1,4-bis(3-bromo-1-oxopropyl)-",O=C(CCBr)N1CCN(C(=O)CCBr)CC1,3.209
14,"1,6-Heptadiyne",C#CCCCC#C,1.6030000000000002
15,2-Propynyl ether,C#CCOCC#C,2.242
16,"Ether, bis(3,4-epoxybutyl)",C(CC1CO1)OCCC1CO1,2.17
17,"Oxirane, 2,2'-(1,4-butanediyl)bis- (9CI)",C(CCC1CO1)CC1CO1,2.124
18,"Benzene, 1,1'-(oxybis(methylene))bis-",c1ccc(COCc2ccccc2)cc1,1.899
19,"Oxirane, 2,2'-(oxybis(methylene))bis-",C(OCC1CO1)C1CO1,2.461
20,"Phosphoric acid, tris(trimethylsilyl) ester",C[Si](C)(C)OP(=O)(O[Si](C)(C)C)O[Si](C)(C)C,1.961
21,"Butanenitrile, 4-(dichloromethylsilyl)-",C[Si](Cl)(Cl)CCCC#N,1.809
22,"Succinimide, 2-methylene-N-(m-nitrophenyl)-",C=C1CC(=O)N(c2cccc([N+](=O)[O-])c2)C1=O,1.968
23,"2-Oxetanone, 4-methylene-",C=C1CC(=O)O1,2.176
24,2-Propenenitrile,C=CC#N,2.833
